, JK
arrived, here
arriving, by
arrow, sticking
arrows, began
artist, had
as, they
ash, They
ashamed, that
ashenfaced, Seamus
ashes, It
aside, then
ask, you
asked, not
askew, as
asking, people
asks, too
asleep, he
aspect, changed
assembled, students
assembly, clapped
assistance, I
assistant, Professor
assortment, of
assured, them
astonishment, Dumbledore
astounded, Professor
at, the
atmosphere, of
attached, to
attack, today
attacked, You
attacker, though
attacking, and
attacks, yet
attempted, a
attempting, to
attempts, to
atten, 
attend, Mr
attention, said
attic, howled
attitude, Malfoy
attract, your
attracted, to
attracting, too
auburn, hair
audible, gasp
audience, but
aunt, and
aunts, way
author, of
autobiography, I
autograph, Can
automatically, Whatever
avoid, the
avoided, mentioning
avoiding, their
awake, by
award, Ron
aware, of
away, and
awe, Yes
awestruck, Harry
awful, smile
awkward, pause
awkwardly, as
axe, would
b, breakfast
babble, of
baby, when
back, through
backed, into
backfired, Ron
background, reading
backing, slowly
backs, their
backtracked, quickly
backward, He
bacon, Ron
bad, way
bade, Riddle
badge, was
badger, Resisting
badly, After
badtempered, Harry
bag, No
bags, and
bait, but
balaclava, perched
bald, except
balefully, back
ball, eyes
ballet, Potter
balloon, Goyle
balls, The
bandaged, fingers
bandages, was
bandy, about
bang, and
banged, the
bangin, on
banging, open
bangs, as
banished, the
banisters, When
bank, by
banks, underground
banner, stretched
banquets, in
banshee, he
bar, and
bare, hands
bared, Well
barely, recognizable
barging, into
baring, his
bark, making
barked, Snape
barks, they
barn, owl
barred, from
barrel, bursting
barricaded, in
barrier, When
bars, and
basilisk, had
basilisks, victims
basin, Bu
basis, in
basket, When
bat, Longbottom
bated, breath
bathroom, 
bats, Hagrids
battered, copy
battering, ram
battle, against
battling, crowd
bawling, at
bbeen, writing
be, furious
beacon, of
beady, eyes
beak, sank
beaker, of
beakerful, and
beam, of
beamed, Lockhart
beaming, once
bear, in
beard, that
bearded, head
bearing, its
beast, moving
beasts, and
beat, Slytherin
beaten, but
beating, very
beautiful, head
became, very
because, I
beckoned, Harry
become, the
becoming, clearer
bed, sneaking
bedclothes, had
bedraggled, owl
bedroom, were
beds, around
bedside, cabinet
bedspread, which
been, meeting
beetle, with
beetleblack, eyes
beetles, that
befall, you
before, the
befouling, the
beg, your
began, to
begging, Dumbledore
begin, Now
beginning, of
begonia, However
begun, to
behave, Rons
behavior, didnt
beheaded, but
behind, his
being, caught
belch, and
belching, slugs
believable, verifiable
believe, it
believed, that
believing, it
bell, to
bellow, like
bellowed, 
bellowing, himself
belong, in
belonged, in
below, He
belt, Ron
bemused, eyes
bemusedly, at
bench, When
bend, to
bending, closer
beneath, it
benefited, from
bent, down
berserk, and
berth, by
beside, him
bespectacled, witch
best, bit
bestseller, list
bet, Dumbledore
betide, you
better, go
between, the
beware, Youll
bewildered, Very
bewitch, Malfoy
bewitched, his
bewitching, a
beyond, the
bickering, History
bicorn, horn
bid, for
big, blundering
bigger, and
biggest, deal
biggish, red
bigheaded, Harry
billowing, from
bin, expectin
bird, He
birds, golden
birthday, had
bishops, wrestled
bit, of
bite, Why
biting, his
bits, of
bitten, Muggleloving
bitter, A
bitterly, at
bitterness, on
bizarre, it
blabbing, my
black, book
blackandgold, cabinet
blackandwhite, striped
blackboard, I
blackdraped, platform
blackhaired, boy
blackmail, before
blackness, Harry
blackrobed, figure
blame, No
blamed, for
blanched, Thats
blank, windows
blanket, in
blankets, and
blankly, to
blast, Page
blasted, by
blaze, of
blazed, midnightblue
blazes, dyou
blazing, sunshine
bleakly, Arthur
blearily, around
bleeding, in
bless, her
blew, his
blighters, they
blind, What
blinded, serpent
blinding, white
blindly, 
blink, of
blinked, Fawkess
blinking, at
blizzard, so
block, unfriendly
blocked, Harry
blocking, thing
bloke, youve
blond, hair
blonde, pigtails
blood, Then
bloodless, face
bloodred, below
bloods, as
bloodsoaked, robes
bloodstained, silver
bloodstains, was
bloody, eye
bloom, in
blossoming, out
blot, onto
blotched, and
blotting, the
blow, her
blowing, through
blows, from
blue, and
blundered, after
blundering, Hagrid
blunt, head
blurred, around
blurs, shooting
blurted, out
blushed, Even
blushing, silver
boa, constrictor
board, Go
boarhound, around
boasting, about
boat, now
boatlike, shoes
bobbing, apologetically
bodies, The
bodiless, voice
body, and
bogies, 
boil, where
boiling, water
boils, and
bold, He
bolt, upright
bolted, down
bolts, 
bomb, Harry
bombard, him
bone, marrow
boneless, arm
bones, Trying
bonnet, Harry
bony, wrist
booger, Crabbes
book, to
booked, a
booklist, The
books, on
bookshelf, Dozens
bookshelves, If
bookshop, without
boomerang, and
booming, barks
boomslang, skin
boos, and
booster, Wash
booth, by
boots, Under
bored, of
boring, But
born, just
borns, A
borrow, Hermes
borrowed, time
borrowing, this
boss, Ron
bossily, You
both, receive
bother, you
bothered, filling
bothering, to
bottle, of
bottles, of
bottom, of
boughs, were
bought, you
boulder, Gettin
bounced, back
bound, to
bounded, happily
bounding, downstairs
bout, of
bow, Harry
bowed, Dumbledore
bowing, We
bowl, haircut
bowled, him
bowler, waited
box, next
boxes, on
boy, But
boys, he
braced, himself
bracingly, Honestly
bracket, and
brain, Why
brainless, git
brains, or
brambles, After
branch, Were
branches, whipping
branching, off
brandished, his
brandishing, under
brandnew, handles
brass, knocker
brat, waited
brave, Harry
braved, so
bravely, and
brawling, in
bread, and
break, apart
breaker, There
breakfast, but
breaking, a
breakneck, journey
breath, and
breathe, a
breathed, and
breathing, fast
breathless, and
breathlessly, Page
breaths, and
breathtaking, icecold
breeze, Perfect
brewing, up
brick, red
bridge, of
bright, in
brightened, when
brighter, than
brightly, pink
brilliant, student
bring, himself
bringing, up
briskly, Her
bristles, low
bristling, beard
broad, grin
broadened, You
broadly, Twice
broke, any
broken, rock
bronze, jangling
broom, when
brooms, were
broomstick, But
broomsticks, in
brother, Charlie
brothers, tease
brought, Ron
brow, with
brown, face
bruised, they
brush, his
brushed, rooster
brushing, soot
bubbled, like
bubbles, were
bubbling, sluggishly
buck, up
bucket, of
buckets, and
budgies, arguing
buff, up
bug, You
build, you
builder, and
building, through
buildings, on
built, so
bulbous, yellow
bulging, like
bull, sending
bulldog, all
bullets, thundered
bullfrog, Come
bullied, into
bully, Neville
bump, they
bun, was
bunch, of
bundle, A
bundles, of
bungled, and
buoyant, Come
buried, his
burly, sixth
burn, Such
burned, a
burning, sensation
burnished, gold
burnt, and
burp, 
burped, slugs
burst, open
bursting, its
burying, him
bus, stops
bush, and
bushy, brown
busied, himself
business, Harry
bustle, them
bustled, off
bustling, over
busy, at
but, weve
butt, in
butted, in
butter, dish
butterflies, Five
buttering, it
button, but
buttons, she
buy, his
buying, a
buzzing, because
by, magic
bylooking, wizards
c, couldnt
cabbage, Immediately
cabbages, burst
cabin, He
cabinet, not
cabinets, stood
cackled, Peeves
cage, Hands
cajolingly, giving
cake, He
cakes, whole
calculating, look
call, 
called, a
calling, the
calm, and
calmer, tone
calmly, But
came, to
camera, The
can, speak
canary, yellow
canceled, but
candle, and
candlelight, made
candles, had
canned, soup
cannonball, Ninth
cannot, deny
canopy, above
cant, stand
cantve, bin
capture, of
car, a
card, said
cardcarrying, cupids
cardigan, on
cards, Yes
care, how
cared, for
careening, out
career, in
careers, Ron
careful, footstep
carefully, not
carelessly, I
cares, said
caretaker, Argus
caretakers, cat
carols, Hagrid
carpet, looking
carried, a
carry, around
carrying, a
cars, to
carthorses, eight
carts, that
carved, serpents
cascaded, down
case, blood
cases, and
cast, a
casters, and
casting, long
castle, by
castles, and
casually, through
cat, In
catch, the
catching, on
caterpillars, As
catflap, and
catlike, through
cats, attacked
caught, it
cauldron, Im
cauldrons, stood
cause, enough
caused, serious
causes, devastation
causing, something
cautiously, forward
caved, in
cavernous, trunk
caving, 
ccant, 
ccat, hair
ceiling, It
ceilings, didnt
celebrate, the
celebration, lasted
celebrity, does
cell, in
cemented, his
centaurs, are
center, watching
centuries, said
certain, disregard
certainly, seems
chains, A
chair, stunned
chairs, by
chalk, snapping
challenged, Youll
chamber, Towering
champion, when
chance, 
chances, Riddle
chandelier, overhead
change, back
changed, his
changing, into
chaos, As
chap, Have
chaps, said
chapter, twelve
character, said
charcoalblack, were
charge, Finite
charging, bull
charm, the
charmed, How
charms, to
chase, it
chasing, the
chatter, the
chattering, crowd
cheap, said
check, under
checked, that
checking, their
checks, I
cheek, as
cheekily, up
cheeks, What
cheer, and
cheered, Hermione
cheerful, mood
cheerfully, plunking
cheeriness, his
cheering, that
cheers, me
cheese, covered
chess, For
chest, Fawkes
chew, 
chewed, greedily
chicken, out
chickens, egg
childhood, The
childish, behavior
children, 
childrens, He
chill, air
chimed, somewhere
chimney, dont
chimneys, were
chin, I
chink, of
chipped, in
chocolate, I
choice, With
choices, Harry
choked, What
choking, noise
choose, Confused
chortle, 
chortling, Ginny
chose, the
chosen, to
christened, Fluffy
chuck, all
chuckled, at
chunks, of
churches, Several
churning, he
circle, of
circles, higher
circling, its
circular, mirror
circumstances, 
city, alive
clambered, back
clamoring, to
clamp, them
clamped, so
clanged, and
clanking, ghoul
clap, too
clapped, her
clapping, It
clasped, to
class, Ron
classes, were
classroom, one
classrooms, where
classs, heads
clatter, and
clattering, behind
claw, footed
claws, beside
clean, as
cleaned, the
cleaner, until
cleaning, Mr
clear, to
cleared, his
clearer, more
clearing, Page
clearly, full
clears, up
clench, and
clenched, Well
clenching, Crabbe
clever, plan
cleverly, through
click, went
clicked, his
clicking, their
cliff, over
climb, the
climbed, the
climbing, through
clinging, onto
clinking, gently
clipped, tones
clipping, back
cloak, around
cloaks, they
clock, chimed
close, behind
closed, the
closely, Harry
closer, he
closet, door
closing, in
clothes, a
cloud, staining
clouding, his
clouds, a
cloudy, gray
clove, of
club, to
clubs, others
clucked, his
clue, The
clueless, than
clues, Scorch
clumps, of
clumsily, fed
clunk, a
clunks, the
clutched, in
clutches, he
clutching, her
coast, was
coat, buttons
coats, and
cobbled, street
cocktail, dress
coffee, Petunia
coil, of
coiling, around
coils, of
coins, into
cold, eyes
coldly, Oh
colds, among
collapse, on
collapsed, on
collar, on
colleagues, I
collect, bags
collected, his
collecting, names
collection, of
colliding, on
color, A
columns, Every
combative, position
come, early
comes, 
comeuppance, in
comfort, was
comfortably, side
comforting, at
comics, that
coming, to
command, But
commands, a
comment, about
commentating, say
comments, were
common, Muggleborn
commotion, said
community, particularly
company, with
compartment, to
compass, on
competing, with
competition, Ginny
complaining, crowd
complete, Harry
completely, forgotten
complex, Homorphus
complicated, sort
compliments, at
compose, a
composition, said
compost, heap
concealed, in
concentrate, on
concentrated, on
concern, beneath
concerned, teacher
conditions, said
conducting, more
confession, out
confetti, off
confide, in
confidence, into
confident, this
confirmed, They
confiscated, 
confused, still
confusion, that
congratulating, each
conjured, a
connect, him
connected, Lord
conquered, the
consequences, might
considerable, amount
considerably, But
considered, him
considering, as
consorted, with
constant, stomachache
constantly, repeated
constrictor, told
consumed, Percy
contact, with
contacted, me
contain, birthday
contained, details
contented, himself
contents, into
continued, to
continuing, a
contorted, Then
contracted, as
contraptions, This
contrary, he
control, in
controlling, the
conversation, He
conversations, that
convict, anyone
convinced, that
cooking, breakfast
cool, entrance
coolly, Dudley
coop, He
cooped, up
copies, of
copper, taps
copy, down
core, the
corner, Quickly
cornered, in
corners, of
cornin, said
corrected, him
corridor, He
corridors, came
cough, and
coughed, squelchily
coughing, I
could, be
couldnt, say
couldve, died
count, to
counter, that
countercharm, I
countercurse, that
counting, on
countless, occasions
country, It
couple, of
courage, mounting
course, he
coursing, silently
courtyard, was
cousin, Dudley
cover, No
covered, in
covering, themselves
cower, and
cowered, as
cowering, behind
crack, Dobby
cracked, open
crackling, under
cracks, had
crammed, into
cramped, There
crane, his
craning, around
crash, he
crashed, down
crashing, through
crawl, along
crawled, back
cray, said
crazed, enthusiasm
crazy, All
creak, open
creaking, front
creaks, Harry
cream, out
creams, which
creating, a
creature, that
creatures, clutches
credit, for
creeping, over
creepy, you
crept, around
cried, and
cries, wont
crime, he
crimson, bird
crisply, also
crisscrossing, the
criticize, a
croaked, the
croaky, voice
cronies, Crabbe
crooked, nose
crop, up
crossbow, and
crossed, to
crosses, in
crosseyed, muttering
crossing, the
crouch, down
crouched, low
crouching, at
crowd, thronging
crowded, yet
crowing, of
cruel, but
cruelty, to
crumpled, heap
crunch, as
crunching, noise
crushing, Rons
cry, of
crying, in
crystal, and
cubs, under
cuff, If
cuffed, Harry
cuffing, Harry
culprit, We
cunning, on
cup, of
cupboard, wasnt
cupids, beamed
cups, in
cure, Mrs
cured, of
curious, look
curiously, Harrys
curl, his
curled, the
curling, Harry
curly, hair
curlyhaired, Hufflepuff
current, circumstances
currently, in
curse, their
cursed, his
curtain, Madam
curtains, at
curtly, They
curved, lying
curves, And
cushion, Ah
custard, tart
cut, his
cutting, at
d, told
dabbing, his
dad, how
dads, old
damage, to
damaged, beyond
damp, floor
dampened, which
dampspotted, pages
dance, routine
dancing, Malfoy
danger, to
dangerous, adventure
dangerously, again
dangers, already
dangling, below
dare, try
daresay, the
daring, to
dark, corridor
darkened, faces
darkening, corridor
darker, than
darkest, secrets
darkly, Professor
darkness, they
darted, down
darting, shadows
dashboard, and
dashed, out
dashing, plumed
date, is
daubed, threatening
daughter, was
daughters, do
dawn, sir
dawned, cold
day, He
daylight, 
days, Harry
daytime, because
dazed, by
dazzling, flash
dazzlingly, white
ddiary, Ginny
ddidnt, know
de, gnome
dead, basilisk
deadly, Fawkes
deaf, Harry
deafening, 
deafeningly, off
deal, with
dealt, with
dear, Mudblood
dearly, for
death, Spiders
deathday, party
deboning, he
deceiving, him
decent, headmaster
decide, on
decided, to
deciding, to
decision, he
decorated, with
decorations, was
decrepitlooking, bird
dedicate, my
deeds, are
deep, into
deeper, into
deepest, fears
deeply, shaken
deepset, eyes
defeat, the
defeated, voice
defend, yourselves
defender, A
definitely, think
deflated, He
degnome, a
degnoming, 
degnomings, going
delicately, You
delicious, looking
delight, it
delighted, Of
delightedly, walking
deliver, to
delivered, them
delivering, your
delivery, might
demanded, Ron
demonic, glint
demonstrating, Im
demonstration, before
dense, branches
dent, into
dented, scratched
dentist, halfpast
deny, them
denying, it
department, but
depressing, bathroom
deprived, of
depths, Harry
deputy, in
derisive, laugh
descendant, of
descendants, His
descended, on
description, 
deserted, corridor
deserved, the
desk, and
desks, on
desktop, avoiding
despairing, groan
desperate, We
desperately, into
destroyed, There
detach, himself
detached, Mrs
details, of
detect, a
detective, work
detention, As
detentions, this
detergent, And
determination, 
determined, to
detested, Filch
devastated, landed
devastation, with
develop, the
developed, I
devices, was
devil, 
devising, a
devoted, to
dewdrenched, grass
dewhiskered, tail
diagram, like
diary, threw
diarys, gone
did, this
didn, need
didnt, manage
die, Harry
died, and
dies, Pity
diet, of
difference, In
differences, 
different, from
differentcolored, inks
difficult, journey
difficulty, he
digging, deep
dignified, Oh
dim, the
dimly, Havent
dingy, and
dining, tables
dinner, and
dinners, over
dip, beneath
dipped, his
dipping, his
directed, it
direction, but
directions, but
dirty, the
disagreements, sprang
disappear, He
disappearance, when
disappeared, Harry
disappoint, you
disappointed, he
disappointment, Riddle
disapproval, and
disapproved, of
disapproving, of
disarm, only
disarmed, Lockhart
disarming, each
disasterous, car
disastrous, episode
disbelief, Master
disbelievingly, After
discover, the
discovered, and
discuss, his
discussing, the
discussion, of
disembodied, voice
disgrace, to
disgraces, the
disgruntled, Hermione
disguise, itself
disgust, Prefect
disgusted, to
disgusting, slimy
dish, Fortunately
dishes, of
disheveled, Ignoring
dislike, Funny
disliked, taking
dismounted, Harry
disperse, the
display, of
dispose, of
disregard, for
disrepute, Mr
dissolved, Justin
dissolving, in
distance, ahead
distant, sound
distinctly, saw
distract, him
distracted, the
distractedly, still
distraught, but
distress, Harry
distressed, It
disturbed, you
ditched, Defense
dive, from
dived, His
diversion, Then
dividing, platforms
divine, The
diving, into
dizzy, Harry
do, magic
docile, as
doctor, a
dodge, the
dodged, and
dodging, all
dodgy, to
does, said
doesn, matter
doesnt, matter
dog, greeting
doin, here
doing, that
doll, At
dollops, of
domed, web
don, blame
done, well
dont, we
doomladen, expression
door, and
doorbell, rang
doorknob, but
doors, close
doorstep, eleven
doorway, covered
dormitories, The
dormitory, was
dose, of
double, attack
doubled, up
doublet, So
doubling, the
doubt, resurfacing
doubted, it
doubts, it
doughnut, He
down, at
downhill, from
downright, scared
downstairs, Not
downward, and
dozed, off
dozen, surlylooking
draft, an
dragged, him
dragging, his
dragon, in
dragons, and
drain, out
draining, out
dramatic, bits
dramatically, at
drank, the
drapes, My
draw, ahead
drawer, and
drawers, in
drawing, out
drawingroom, floor
drawings, of
drawled, looking
drawling, voice
drawn, around
dread, creature
dreaded, what
dreadful, piercing
dreading, taking
dream, of
dreamed, that
dreamily, at
dregs, of
drenched, Harrys
dress, sense
dressed, again
dressing, gown
drew, a
dribbled, down
drier, and
drift, past
drifted, toward
drifting, around
drills, With
drink, them
drinker, smoking
drinking, nothing
drinks, At
drip, of
dripped, from
dripping, onto
driven, out
drives, Mum
driving, too
drone, like
droned, on
drooped, right
drooping, with
drop, his
dropped, a
dropping, to
drops, fall
drove, it
drowned, by
drowsy, Everything
drumming, his
drumroll, against
drunk, it
drunkenly, between
dry, Havent
drying, his
duck, as
ducked, Something
ducking, as
due, any
duel, It
dueling, in
duels, Up
dug, some
dull, color
dullest, subject
dully, We
dumbstruck, out
dung, compost
dungeon, fortunately
dungeons, Behind
dunno, 
during, their
dust, from
dusted, off
duster, 
dusty, floor
duty, Ginny
dve, come
dwarf, as
dwarfs, caught
dwell, on
dwells, in
dwindling, out
dyeh, 
dying, Instead
dyou, mean
e, 
each, other
eager, face
eagerly, The
eagle, Youd
eaglefeather, quill
ear, and
eardrums, throb
earlier, this
early, Definitely
earmuffs, were
earned, fifty
earnestly, Dobby
earning, himself
earns, his
ears, in
earshot, Well
earsplitting, bang
earth, did
earths, a
eased, them
easier, to
easily, be
east, Fred
easy, task
eat, our
eaten, as
eating, Ill
ebb, away
echoed, loudly
echoing, gloom
ecstasy, So
ecstatically, as
edge, of
edged, forward
edges, as
edging, further
educated, But
education, she
eerie, song
effect, on
effective, 
effectively, than
effects, almost
effort, to
egg, hatched
egging, it
eggnog, he
eggs, KILL
eh, he
eight, milky
eightfifteen, 
eightlegged, black
either, of
ejecting, their
elaborately, carved
elbow, One
elbowed, Ron
elbowing, people
elbows, tucked
elder, brother
electric, blue
electrified, gave
elegant, hand
elephant, emerged
eleven, governors
elevenyearold, girl
elf, shrilly
elfs, ugly
else, By
elses, memory
elsewhere, today
em, right
embarrass, me
embarrassed, You
embarrassedly, but
emblazoned, with
embrace, You
emerald, eyes
emeralds, Harry
emerged, very
emergency, section
emerging, from
emitted, a
emitting, little
emotion, Wood
empty, Page
emptying, the
enchant, Ginny
enchanted, barrier
enchanting, it
encouragingly, followed
end, as
ended, up
ending, with
endless, slimy
endlessly, for
ends, the
enemy, and
energetically, Your
engine, roared
engraved, just
engraving, trying
engulfed, him
enjoy, Christmas
enjoyable, Harry
enjoyed, the
enjoying, the
enormous, serpent
enough, to
enslaved, we
enslavement, sir
enter, her
entered, His
entering, the
entertainment, A
enthusiasm, for
enthusiastically, at
entire, life
entirely, hidden
entrance, was
entries, 
entrust, to
entwined, with
envelope, from
envelopes, contents
enviously, I
episode, of
equal, 
equally, certain
er, not
eradication, of
eraser, Its
erupted, at
escalator, As
escapators, How
escape, with
escaped, said
escort, you
escorted, the
especially, difficult
essay, about
essence, of
essential, part
evaporate, on
even, paler
evening, Lucius
ever, have
every, other
everybody, seemed
everyone, who
everyones, out
everything, For
everywhere, would
evidence, that
evidently, a
evil, wizard
evilly, brandishing
evilsmelling, green
exactly, had
exam, Professor
examine, Riddles
examined, every
examining, Harrys
example, 
exams, had
exasperated, looks
excellent, time
except, for
exchanged, panicstricken
excited, to
excitedly, When
excitement, coursing
exciting, thing
excuses, not
exercise, and
exhaust, Can
exhausted, he
exist, But
exit, In
exiting, through
exotic, plants
expanded, like
expect, I
expectant, and
expected, Ron
expectin, 
expecting, to
expel, you
expelled, her
expelling, us
expensive, 
experience, Depends
expertise, to
explain, when
explained, quietly
explaining, that
explanation, about
explode, but
exploded, with
explosion, of
explosions, drove
explosive, spitting
exposed, a
expression, grew
expulsion, from
extinguished, the
extra, pairs
extracted, from
extracting, a
extraordinary, lightness
extremely, ugly
eye, Because
eyeballs, as
eyebrows, And
eyed, eightlegged
eyeing, the
eyes, widening
fabulous, Kwikspell
face, split
faced, with
facedown, lay
faceful, and
faces, People
facetoface, with
facing, a
fact, that
facti, And
facts, about
faded, away
fading, I
fail, to
failed, to
failing, to
failsafe, quickresult
faint, moan
fainted, He
fainter, still
faintest, slimmest
faintly, the
fairer, than
faithful, pets
fake, jump
fall, and
fallen, asleep
falling, its
false, laugh
falsely, bright
falter, Im
faltered, He
fame, you
familiar, about
families, Imagine
family, has
familys, whole
famous, Harry
fan, out
fancies, him
fanciful, legend
fancy, gold
fang, hole
fanged, servant
fangs, long
fanning, Nick
fans, It
fantastic, Fawkes
fantasy, about
far, than
farewell, on
farfetched, if
farther, north
fascinated, and
fascinating, history
fashioned, myself
fast, weighing
faster, than
fastest, racing
fat, one
fatal, to
fate, that
father, a
fathers, name
fault, George
faulty, 
favor, 
favorite, carols
favorites, that
fear, spreading
feared, by
fearful, And
fearfully, Neville
fears, her
fearsome, beasts
feast, and
feasts, but
feather, duster
feathers, An
feature, The
features, that
fed, him
feeble, Boys
feebly, Deliberately
feed, Fang
feeding, Miss
feel, safe
feelers, that
feeling, unaccountably
feelings, you
feet, closely
fell, silent
fellow, spiders
fellows, closed
felt, drowsy
fer, tryin
ferrets, but
fertilizer, mingling
fervently, was
fetch, Professor
feverishly, into
few, hours
fiasco, of
fickle, friend
fiddling, with
fidget, said
fidgeting, with
field, to
fields, that
fierce, dive
fiercely, pointing
fifteen, minutes
fifth, year
fifty, years
fiftyyearyounger, Dumbledore
fight, between
fighting, a
figure, with
figures, before
filed, past
filing, cabinets
filled, the
filling, in
film, inside
filtering, into
filth, but
filthy, sock
final, term
finalize, their
finally, stopped
find, their
finding, out
finds, out
fine, 
fined, fifty
finger, You
fingering, his
fingernails, scraping
fingers, Thanks
fingertips, It
finish, cleaning
finished, Look
fire, Sit
fireball, it
firecracker, Oh
firedwelling, lizard
firelight, And
fireplace, where
fireplaces, and
fires, was
fireside, in
firework, There
fireworks, and
firm, voice
firmly, that
first, to
fish, were
fishing, rods
fishy, said
fist, I
fists, still
fit, to
fits, But
fitted, easily
five, whole
fivetime, winner
fix, your
fixed, meaningfully
fizz, and
flabbergasted, Havent
flailed, their
flailing, and
flaking, and
flame, when
flamed, through
flames, erupted
flaming, light
flamingred, hair
flanked, as
flapped, pointlessly
flapping, Dobby
flared, thats
flaring, No
flash, of
flashing, Should
flat, onto
flatfooted, from
flatly, glancing
flattened, Fred
flatter, myself
flattering, question
flavor, said
flaw, Theres
flay, him
flea, bitten
flecks, of
fled, the
flee, before
flees, only
fleeting, frightened
fleshcolored, rubber
flew, high
flicked, a
flicker, Open
flickered, toward
flickering, across
flicking, pufferfish
flies, up
flight, again
flights, of
flinched, but
flinging, down
flipped, the
floated, all
floating, away
flogging, Dobby
flood, from
flooded, out
flooding, silently
floodlit, ground
floor, of
flopped, straight
flouted, the
flower, beds
flowerbeds, pruned
flowered, apron
flowerpot, And
flowers, and
flowery, pink
flown, hasnt
flu, and
fluffy, pair
flung, themselves
flurry, of
flush, it
flushed, as
flustered, in
fluttered, down
fluttering, in
fluxweed, has
fly, off
flyaway, hair
flying, upward
focus, Harry
focused, on
foggy, The
folded, its
folding, a
folds, of
follow, the
followed, still
following, him
fond, of
food, and
fool, should
foolish, little
fools, too
foot, walked
footed, desk
footprints, on
footstep, echoed
footsteps, and
for, the
forbade, me
forbidden, information
force, of
forced, the
forcefed, poison
forcefully, of
forcing, Lockhart
foreboding, increased
forehead, and
forest, that
forests, of
forever, I
forfeit, the
forgery, but
forget, menot
forgetting, that
forgive, Hagrid
forgiven, Ernie
forgot, He
forgotten, about
fork, at
forked, tongue
forks, from
form, of
formally, I
former, self
forming, Let
forms, an
forsaken, by
forth, alone
fortunate, he
fortunately, not
fortune, that
fortyfive, times
fortysix, said
forward, they
fought, their
foul, 
foulest, creatures
found, it
founded, over
founders, knew
four, hundred
fourposter, thinking
fourposters, hung
fours, as
fourteen, players
fourteenth, Harry
fourth, floor
foxes, or
fraction, of
fraillooking, wizard
frame, us
framed, him
frames, There
frank, There
frantic, Harry
frantically, I
frayed, and
freak, accident
frecklefaced, redhaired
free, Least
freed, Dobby
freely, named
freezer, Shall
fresh, meat
fretfully, Years
fretted, about
fridge, stood
fried, fish
friend, Hermione
friendly, to
friends, defeated
fright, 
frighten, all
frightened, look
frightening, and
frightens, you
frog, brains
frogs, Muggles
from, the
front, of
frostcovered, Christmas
frothed, Goyles
frowning, at
froze, Music
frozen, staring
fruit, bats
fruitcake, Harry
frying, pan
fulfill, our
full, of
fully, mature
fumbled, for
fumbling, fingers
fumes, making
fun, doesnt
fungus, No
funny, going
fur, Her
furfree, at
furious, 
furiously, from
furnace, Nearly
furrowed, Then
furry, face
further, Quidditch
fury, So
fuss, said
fussed, over
future, 
g, e
gagging, noise
gain, your
gained, the
galloped, into
galloping, into
game, The
gamekeeper, back
gamekeepers, cabin
games, quickly
gang, of
gap, after
gaped, at
gaping, at
gaps, following
garage, in
garden, hose
gargoyle, in
garlic, when
gasp, and
gasped, skidding
gasping, to
gasps, clutching
gateway, to
gateways, sealed
gather, round
gathered, together
gathering, speed
gaunt, face
gave, it
gaze, made
gazed, uncertainly
gazing, up
general, direction
generations, of
generous, gift
genially, on
gentle, voice
gentleman, sniffed
gentlemen, it
gently, is
gents, break
gesturing, Harry
get, his
gets, them
gettin, kelpies
getting, very
ghost, Harry
ghostly, light
ghosts, were
ghoul, on
giant, serpent
gibbering, said
gift, Parseltongue
gigantic, stone
giggled, Its
giggles, Whats
giggling, Well
gilded, cover
gingerly, to
girl, got
girlfriend, Fred
girls, bathroom
git, said
gits, not
give, that
giveaway, if
given, a
gives, light
givin, them
giving, you
glad, Ive
gladly, into
glance, at
glanced, up
glances, Its
glancing, off
glare, of
glaring, its
glass, moving
glasses, Oh
glassy, They
gleam, in
gleamed, as
gleaming, silver
gleefully, pointed
glide, alongside
glided, suddenly
gliding, noiselessly
glimpse, of
glimpses, of
glint, in
glinted, 
glinting, emeralds
glistening, in
glitter, of
glittering, weapon
gloated, at
gloating, to
gloom, and
gloomiest, most
gloomily, We
gloomy, and
gloop, of
glorious, relief
gloss, the
glossy, feathers
glove, He
gloved, hands
glow, in
glowed, with
glowering, at
glowing, gold
glued, his
glugged, Myrtle
glummest, face
glutinous, potion
gnarled, boughs
gnashed, their
gnome, sensing
gnomeholes, He
gnomes, sneaking
go, away
goal, posts
goals, Three
goblet, of
goblets, and
goblin, driven
goes, to
goggled, at
goggling, tennis
going, Dobby
gold, along
golden, tail
golfballsized, lump
golfer, joke
gone, said
good, at
goodbye, to
goodnaturedly, up
goodness, 
goods, The
gorilla, arms
got, off
gotta, get
governor, Draco
governors, contacted
gown, and
grab, Rons
grabbed, the
grabbing, Harrys
gracious, said
graciously, while
grades, dont
gradually, a
gran, sent
grandfather, Dippet
grandson, or
granted, me
grapes, next
grasp, and
grasped, one
grasping, his
grass, Two
grassy, slope
grate, too
grateful, pat
gratefully, Yeah
gratitude, Please
grave, and
gray, feet
grazing, the
grease, Ron
greasy, shoulderlength
great, eyes
greater, by
greatest, of
greatgreatgreatgreat, grandson
greatly, improved
greatness, no
greedily, looks
greedy, they
green, thick
greenhouse, three
greenhouses, The
greenish, gloom
greeted, this
greeting, its
greetings, Dear
grew, hungrier
grievously, injured
griffin, Page
grim, looking
grimly, wiping
grimmer, than
grin, he
grinned, awkwardly
grinning, Just
